Index,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
1,2.831619978,3.5366098881,2.5211200714,2.7721199989,164329,166610555.018,2015-08-07T23:59:59.999Z,Ethereum,8/7/2015
2,2.7937600613,2.7988100052,0.7147250175,0.7533249855,674188,45486894.2408,2015-08-08T23:59:59.999Z,Ethereum,8/8/2015
3,0.7061359882,0.8798099756,0.6291909814,0.7018970251,532170,42399573.4991,2015-08-09T23:59:59.999Z,Ethereum,8/9/2015
4,0.7139890194,0.7298539877,0.6365460157,0.7084479928,405283,42818364.3945,2015-08-10T23:59:59.999Z,Ethereum,8/10/2015
5,0.7080870271,1.1314100027,0.6632350087,1.0678600073,1463100,64569288.4328,2015-08-11T23:59:59.999Z,Ethereum,8/11/2015
6,1.0587500334,1.2899399996,0.8836079836,1.2174400091,2150620,73645010.9863,2015-08-12T23:59:59.999Z,Ethereum,8/12/2015
7,1.2222399712,1.9650700092,1.171990037,1.8276699781,4068680,110607191.674,2015-08-13T23:59:59.999Z,Ethereum,8/13/2015
8,1.8109200001,2.261879921,1.7547500134,1.8278700113,4637030,110672321.811,2015-08-14T23:59:59.999Z,Ethereum,8/14/2015
9,1.8028899431,1.8772399426,1.5709799528,1.6888999939,2554360,102303608.467,2015-08-15T23:59:59.999Z,Ethereum,8/15/2015
10,1.6843500137,1.6952400208,1.0898100138,1.5660300255,3550790,94901005.3503,2015-08-16T23:59:59.999Z,Ethereum,8/16/2015
11,1.58118999,1.58118999,1.1853400469,1.2036099434,1942830,87295366.5007,2015-08-17T23:59:59.999Z,Ethereum,8/17/2015
12,1.215299964,1.3311599493,1.0870499611,1.0870499611,1485680,78868413.078,2015-08-18T23:59:59.999Z,Ethereum,8/18/2015
13,1.1669299603,1.3179899454,1.1669299603,1.258859992,1486240,91366391.4393,2015-08-19T23:59:59.999Z,Ethereum,8/19/2015
14,1.2511800528,1.5333000422,1.2483299971,1.4649200439,2843760,106351420.178,2015-08-20T23:59:59.999Z,Ethereum,8/20/2015
15,1.477519989,1.5564199686,1.3528000116,1.3952900171,2020970,101331855.597,2015-08-21T23:59:59.999Z,Ethereum,8/21/2015
16,1.3962899446,1.4764100313,1.3526799679,1.3792300224,948310,100201825.662,2015-08-22T23:59:59.999Z,Ethereum,8/22/2015
17,1.375,1.409700036,1.2977700233,1.3525899649,1589300,98300351.3461,2015-08-23T23:59:59.999Z,Ethereum,8/23/2015
18,1.3455899954,1.3627799749,1.2312699556,1.2312699556,924920,89515256.5525,2015-08-24T23:59:59.999Z,Ethereum,8/24/2015
19,1.2286100388,1.2418199778,1.12864995,1.1401900053,1307180,82922632.9052,2015-08-25T23:59:59.999Z,Ethereum,8/25/2015
20,1.1327899694,1.2024799585,1.0618300438,1.1599800587,1056750,84390923.5384,2015-08-26T23:59:59.999Z,Ethereum,8/26/2015
21,1.1698100567,1.188830018,1.1372900009,1.1476999521,686662,83524585.3858,2015-08-27T23:59:59.999Z,Ethereum,8/27/2015
22,1.147660017,1.2077900171,1.1204999685,1.191380024,721872,86731076.6374,2015-08-28T23:59:59.999Z,Ethereum,8/28/2015
23,1.1935299635,1.2072099447,1.1494899988,1.1825499535,375377,86113894.6912,2015-08-29T23:59:59.999Z,Ethereum,8/29/2015
24,1.1829899549,1.3679900169,1.170609951,1.3192700148,1337650,96097349.1063,2015-08-30T23:59:59.999Z,Ethereum,8/30/2015
25,1.3213800192,1.3961499929,1.2010099888,1.3582400084,1447180,98963974.8992,2015-08-31T23:59:59.999Z,Ethereum,8/31/2015
26,1.3534799814,1.3927400112,1.3366299868,1.3516099453,778862,98507500.0511,2015-09-01T23:59:59.999Z,Ethereum,9/1/2015
27,1.3515700102,1.3549100161,1.2646199465,1.2947900295,883769,94389544.2517,2015-09-02T23:59:59.999Z,Ethereum,9/2/2015
28,1.2951899767,1.3099900484,1.2110300064,1.2649300098,702991,92234142.4838,2015-09-03T23:59:59.999Z,Ethereum,9/3/2015
29,1.2649300098,1.3025200367,1.2368099689,1.2744100094,474391,92953700.9787,2015-09-04T23:59:59.999Z,Ethereum,9/4/2015
30,1.2805600166,1.3423000574,1.2711900473,1.338809967,448453,97683882.5429,2015-09-05T23:59:59.999Z,Ethereum,9/5/2015
31,1.3380099535,1.3736399412,1.2942500114,1.2958300114,491968,94580163.7911,2015-09-06T23:59:59.999Z,Ethereum,9/6/2015
32,1.2958999872,1.3054800034,1.2378499508,1.2466499805,489014,91020734.5517,2015-09-07T23:59:59.999Z,Ethereum,9/7/2015
33,1.2466499805,1.2823799849,1.230610013,1.2424299717,427892,90743242.4997,2015-09-08T23:59:59.999Z,Ethereum,9/8/2015
34,1.2393499613,1.2604800463,1.2018400431,1.2065099478,366748,88150124.7109,2015-09-09T23:59:59.999Z,Ethereum,9/9/2015
35,1.2076100111,1.221570015,1.1361500025,1.1657700539,662782,85202731.6627,2015-09-10T23:59:59.999Z,Ethereum,9/10/2015
36,1.1649700403,1.1690700054,0.9406750202,0.9829779863,1942600,71868264.5796,2015-09-11T23:59:59.999Z,Ethereum,9/11/2015
37,0.9872279763,1.1148899794,0.9697800279,1.0387400389,772430,75971273.1522,2015-09-12T23:59:59.999Z,Ethereum,9/12/2015
38,1.041779995,1.0427000523,0.9028319716,0.9360030293,644138,68480586.7159,2015-09-13T23:59:59.999Z,Ethereum,9/13/2015
39,0.9405660033,0.9493870139,0.8717600107,0.8756219745,741085,64084134.617,2015-09-14T23:59:59.999Z,Ethereum,9/14/2015
40,0.8751890063,1.0455399752,0.8751890063,0.9444100261,703390,69141408.7519,2015-09-15T23:59:59.999Z,Ethereum,9/15/2015
41,0.9419770241,0.9526979923,0.9016389847,0.9071750045,615593,66437873.289,2015-09-16T23:59:59.999Z,Ethereum,9/16/2015
42,0.9068650007,0.9092040062,0.8311319947,0.8742309809,897940,64046215.9505,2015-09-17T23:59:59.999Z,Ethereum,9/17/2015
43,0.8745740056,0.888101995,0.8339080215,0.8536850214,484622,62561883.0773,2015-09-18T23:59:59.999Z,Ethereum,9/18/2015
44,0.8496029973,0.9118829966,0.8337839842,0.882390976,386988,64687991.9997,2015-09-19T23:59:59.999Z,Ethereum,9/19/2015
45,0.8811910152,0.947740972,0.8732050061,0.938444972,508314,68822183.059,2015-09-20T23:59:59.999Z,Ethereum,9/20/2015
46,0.9414960146,0.957325995,0.8783010244,0.919046998,424039,67422915.0922,2015-09-21T23:59:59.999Z,Ethereum,9/21/2015
47,0.9193369746,0.9193369746,0.8652250171,0.9017959833,487914,66180153.1012,2015-09-22T23:59:59.999Z,Ethereum,9/22/2015
48,0.9035599828,0.9089099765,0.8851360083,0.8934059739,200541,65587498.9815,2015-09-23T23:59:59.999Z,Ethereum,9/23/2015
49,0.8967959881,0.9085710049,0.7934600115,0.8136100173,842505,59749887.5183,2015-09-24T23:59:59.999Z,Ethereum,9/24/2015
50,0.8200309873,0.8256649971,0.7127450109,0.7362229824,903457,54085581.3072,2015-09-25T23:59:59.999Z,Ethereum,9/25/2015
51,0.7376300097,0.7875440121,0.7093279958,0.7859640121,369620,57759115.3858,2015-09-26T23:59:59.999Z,Ethereum,9/26/2015
52,0.7912769914,0.7912769914,0.7191690207,0.7208390236,413801,52990396.2203,2015-09-27T23:59:59.999Z,Ethereum,9/27/2015
53,0.7237150073,0.7256770134,0.5570619702,0.5828859806,1320890,42863006.0965,2015-09-28T23:59:59.999Z,Ethereum,9/28/2015
54,0.57941401,0.6758300066,0.5583459735,0.6611459851,913992,48633258.7786,2015-09-29T23:59:59.999Z,Ethereum,9/29/2015
55,0.6611919999,0.746721983,0.6358609796,0.7386440039,619926,54351468.2396,2015-09-30T23:59:59.999Z,Ethereum,9/30/2015
56,0.7343069911,0.7343069911,0.6559060216,0.6902149916,596084,50805918.9432,2015-10-01T23:59:59.999Z,Ethereum,10/1/2015
57,0.6837319732,0.6911200285,0.6546049714,0.6785740256,219318,49966501.6492,2015-10-02T23:59:59.999Z,Ethereum,10/2/2015
58,0.6787829995,0.7092040181,0.6754819751,0.6871709824,163326,50616971.5371,2015-10-03T23:59:59.999Z,Ethereum,10/3/2015
59,0.6863430142,0.6931260228,0.6607159972,0.6683790088,103497,49249082.5282,2015-10-04T23:59:59.999Z,Ethereum,10/4/2015
60,0.6667839885,0.6744379997,0.6244500279,0.6286429763,234263,46336892.3718,2015-10-05T23:59:59.999Z,Ethereum,10/5/2015
61,0.6222180128,0.6539440155,0.6062300205,0.6506450176,262674,47974297.647,2015-10-06T23:59:59.999Z,Ethereum,10/6/2015
62,0.6505150199,0.6563010216,0.6024230123,0.6093879938,218327,44947526.8207,2015-10-07T23:59:59.999Z,Ethereum,10/7/2015
63,0.6095010042,0.633138001,0.5919709802,0.6217160225,310266,45872836.6492,2015-10-08T23:59:59.999Z,Ethereum,10/8/2015
64,0.6550840139,0.6922960281,0.6321160197,0.6506279707,386420,48022036.4668,2015-10-09T23:59:59.999Z,Ethereum,10/9/2015
65,0.6411870122,0.6490219831,0.6243739724,0.6278570294,141555,46356710.6017,2015-10-10T23:59:59.999Z,Ethereum,10/10/2015
66,0.6274610162,0.6395059824,0.6183350086,0.634962976,102128,46897253.1371,2015-10-11T23:59:59.999Z,Ethereum,10/11/2015
67,0.6345149875,0.6577889919,0.6260300279,0.6260300279,109567,46253823.0733,2015-10-12T23:59:59.999Z,Ethereum,10/12/2015
